ddate,open,hgih,low,close
2010/1/4,2565.108,2570.152,2514.237,2514.646
2010/1/5,2526.291,2560.667,2487.048,2543.991
2010/1/6,2538.285,2549.571,2513.365,2514.014
2010/1/7,2516.057,2527.427,2450.402,2463.758
2010/1/8,2453.061,2470.024,2432.013,2466.165
2010/1/11,2584.528,2584.528,2467.67,2478.81
2010/1/12,2472.623,2513.298,2435.156,2508.039
2010/1/13,2444.237,2457.9,2396.474,2399.642
2010/1/14,2412.634,2428.705,2384.165,2422.771
2010/1/15,2423.13,2445.203,2402.904,2427.807
2010/1/18,2414.893,2421.89,2398.778,2421.188
2010/1/19,2424.469,2450.281,2424.161,2432.713
2010/1/20,2436.647,2439.468,2356.161,2359.485
2010/1/21,2362.597,2391.508,2346.148,2377.753
2010/1/22,2344.973,2398.989,2317.481,2380.055
2010/1/25,2355.357,2389.627,2350.009,2353.471
2010/1/26,2354.905,2363.411,2296.875,2311.447
2010/1/27,2313.007,2319.993,2260.564,2264.605
2010/1/28,2263.061,2267.853,2235.603,2252.61
2010/1/29,2241.117,2276.767,2231.649,2243.994
2010/2/1,2238.617,2238.898,2182.952,2208.936
2010/2/2,2223.598,2261.633,2210.696,2214.033
2010/2/3,2226.797,2278.475,2190.428,2277.798
2010/2/4,2258.084,2276.47,2247.64,2261.358
2010/2/5,2212.308,2233.315,2204.929,2219.6
2010/2/8,2220.842,2233.135,2201.802,2211.135
2010/2/9,2210.328,2234.53,2207.848,2229.038
2010/2/10,2246.77,2260.479,2239.177,2259.99
2010/2/11,2261.823,2275.759,2254.975,2265.138
2010/2/12,2275.592,2286.676,2270.756,2284.386
2010/2/22,2282.09,2291.783,2268.092,2269.045
2010/2/23,2261.993,2261.993,2202.214,2227.952
2010/2/24,2211.393,2252.645,2204.675,2251.7
2010/2/25,2254.801,2286.92,2251.963,2282.64
2010/2/26,2278.432,2288.597,2270.769,2274.325
2010/3/1,2282.338,2316.384,2281.699,2311.075
2010/3/2,2312.492,2320.312,2293.917,2302.185
2010/3/3,2304.056,2312.419,2287.037,2311.841
2010/3/4,2312.299,2312.783,2259.176,2261.926
2010/3/5,2264.678,2276.763,2258.962,2267.939
2010/3/8,2272.607,2290.091,2265.195,2284.682
2010/3/9,2284.024,2315.36,2266.818,2302.393
2010/3/10,2301.705,2318.312,2286.185,2292.503
2010/3/11,2296.931,2316.382,2282.887,2300.043
2010/3/12,2300.613,2306.99,2273.862,2274.532
2010/3/15,2274.714,2276.445,2232.953,2240.731
2010/3/16,2239.427,2262.006,2234.669,2261.515
2010/3/17,2266.958,2307.399,2260.102,2307.083
2010/3/18,2307.257,2318.05,2288.894,2294.947
2010/3/19,2296.776,2313.026,2282.378,2310.546
2010/3/22,2314.442,2330.671,2310.074,2316.631
2010/3/23,2319.198,2321.263,2290.432,2292.004
2010/3/24,2298.883,2313.427,2289.113,2291.833
2010/3/25,2286.613,2286.613,2253.609,2259.141
2010/3/26,2257.402,2302.513,2253.838,2292.673
2010/3/29,2309.916,2368.696,2306.283,2363.976
2010/3/30,2364.79,2372.794,2355.319,2368.51
2010/3/31,2370.827,2372.558,2345.848,2350.818
2010/4/1,2352.997,2381.388,2352.997,2376.597
2010/4/2,2382.545,2386.14,2370.659,2379.194
2010/4/6,2391.253,2403.816,2367.099,2378.575
2010/4/7,2376.778,2377.106,2349.505,2362.281
2010/4/8,2358.179,2358.179,2316.708,2325.672
2010/4/9,2327.264,2346.393,2322.474,2345.754
2010/4/12,2350.116,2353.788,2301.646,2317.383
2010/4/13,2316.994,2368.912,2315.279,2364.837
2010/4/14,2367.002,2371.068,2352.843,2366.611
2010/4/15,2370.197,2374.558,2343.244,2366.572
2010/4/16,2361.339,2361.339,2328.23,2329.12
2010/4/19,2296.882,2296.882,2208.772,2210.82
2010/4/20,2214.309,2224.733,2180.401,2204.812
2010/4/21,2207.499,2239.291,2189.972,2238.501
2010/4/22,2224.325,2224.325,2186.286,2196.224
2010/4/23,2195.405,2208.796,2169.47,2185.155
2010/4/26,2190.095,2197.591,2168.389,2170.319
2010/4/27,2165.936,2165.936,2103.416,2131.841
2010/4/28,2115.675,2137.431,2103.717,2126.529
2010/4/29,2139.995,2156.083,2123.855,2124.392
2010/4/30,2133.069,2150.033,2114.119,2149.453
2010/5/4,2103.673,2130.757,2096.118,2109.812
2010/5/5,2078.193,2110.783,2051.186,2110.045
2010/5/6,2089.653,2089.653,2005.062,2007.012
2010/5/7,1969.623,2012.969,1956.829,1980.168
2010/5/10,1987.1,2016.855,1968.004,2007.522
2010/5/11,2048.249,2051.272,1957.758,1967.66
2010/5/12,1956.506,2002.807,1943.515,2001.131
2010/5/13,1999.107,2044.825,1996.954,2041.556
2010/5/14,2024.617,2035.406,2012.492,2019.73
2010/5/17,1994.469,1994.469,1924.036,1927.692
2010/5/18,1928.987,1977.137,1919.074,1968.37
2010/5/19,1952.915,1986.601,1932.825,1956.22
2010/5/20,1939.496,1971.258,1920.994,1925.244
2010/5/21,1879.261,1944.702,1874.318,1943.429
2010/5/24,1955.069,2017.324,1955.069,2007.763
2010/5/25,1992.166,1994.187,1950.637,1958.458
2010/5/26,1962.926,1974.787,1948.403,1957.943
2010/5/27,1952.966,1987.882,1927.671,1982.952
2010/5/28,2001.195,2005.398,1964.408,1973.622
2010/5/31,1961.699,1975.587,1924.893,1926.109
2010/6/1,1916.623,1938.176,1895.906,1911.432
2010/6/2,1897.577,1908.541,1876.197,1907.902
2010/6/3,1915.154,1927.404,1894.362,1895.147
2010/6/4,1884.428,1899.232,1877.699,1894.45
2010/6/7,1863.674,1873.268,1843.405,1853.363
2010/6/8,1853.582,1866.914,1829.442,1845.13
2010/6/9,1854.097,1914.076,1829.547,1906.896
2010/6/10,1882.6,1891.961,1871.994,1873.824
2010/6/11,1884.505,1901.245,1880.626,1883.196
2010/6/17,1897.62,1901.571,1881.672,1882.133
2010/6/18,1881.852,1900.472,1865.328,1870.871
2010/6/21,1880.127,1938.74,1873.694,1933.616
2010/6/22,1926.629,1937.958,1920.52,1930.002
2010/6/23,1921.401,1933.361,1898.265,1913.626
2010/6/24,1907.911,1935.858,1902.053,1914.646
2010/6/25,1905.805,1927.227,1901.003,1915.91
2010/6/28,1915.296,1931.51,1907.339,1910.469
2010/6/29,1911.171,1914.9,1832.247,1833.037
2010/6/30,1821.814,1830.618,1810.578,1819.109
2010/7/1,1814.567,1826.518,1798.197,1799.881
2010/7/2,1798.355,1817.282,1771.491,1812.58
2010/7/5,1795.477,1811.332,1776.38,1797.66
2010/7/6,1793.245,1826.619,1790.858,1826.395
2010/7/7,1822.331,1829.806,1810.529,1829.557
2010/7/8,1837.237,1846.435,1822.318,1828.131
2010/7/9,1830.285,1883.432,1815.576,1870.303
2010/7/12,1868.421,1897.632,1859.506,1887.671
2010/7/13,1867.309,1869.037,1848.547,1859.152
2010/7/14,1863.747,1893.682,1863.443,1873.038
2010/7/15,1870.365,1890.752,1839.969,1840.668
2010/7/16,1833.996,1844.397,1818.176,1839.219
2010/7/19,1822.443,1884.632,1818.515,1878.528
2010/7/20,1880.249,1915.49,1880.24,1909.965
2010/7/21,1912.203,1925.484,1903.296,1914.33
2010/7/22,1906.929,1936.23,1903.992,1933.877
2010/7/23,1937.373,1956.417,1932.093,1945.451
2010/7/26,1948.629,1955.672,1929.847,1951.87
2010/7/27,1945.04,1947.412,1931.191,1936.074
2010/7/28,1937.858,1986.258,1929.796,1983.628
2010/7/29,1984.464,2002.112,1979.041,1993.87
2010/7/30,1990.454,1991.341,1972.567,1986.76
2010/8/2,1984.124,2019.249,1982.752,2015.655
2010/8/3,2019.66,2022.545,1978.072,1978.414
2010/8/4,1975.738,1988.31,1948.911,1981.525
2010/8/5,1980.775,1980.775,1945.381,1954.336
2010/8/6,1953.063,1980.852,1934.57,1979.228
2010/8/9,1974.968,1992.433,1968.201,1988.017
2010/8/10,1989.549,1991.898,1933.72,1934.587
2010/8/11,1930.361,1950.788,1928.304,1939.844
2010/8/12,1924.716,1941.676,1911.685,1914.451
2010/8/13,1915.811,1931.71,1902.625,1930.671
2010/8/16,1926.391,1974.72,1920.458,1971.295
2010/8/17,1974.685,1984.488,1965.449,1979.789
2010/8/18,1982.294,1997.448,1971.463,1974.664
2010/8/19,1979.219,2005.296,1972.045,1994.162
2010/8/20,1985.583,1998.415,1964,1967.061
2010/8/23,1963.312,1982.467,1957.802,1962.778
2010/8/24,1959.61,1979.711,1938.679,1960.055
2010/8/25,1948.457,1954.945,1914.763,1914.997
2010/8/26,1922.9,1930.215,1907.461,1914.636
2010/8/27,1914.215,1919.07,1903.912,1917.581
2010/8/30,1926.115,1948.417,1922.916,1942.559
2010/8/31,1935.406,1935.521,1916.718,1923.907
2010/9/1,1927.719,1949.933,1905.726,1917.33
2010/9/2,1941.086,1945.51,1928.544,1935.922
2010/9/3,1937.847,1938.121,1913.408,1929.186
2010/9/6,1938.539,1977.661,1936.502,1975.677
2010/9/7,1979.285,1983.507,1962.794,1973.14
2010/9/8,1963.633,1963.633,1946.042,1956.33
2010/9/9,1957.957,1957.957,1915.088,1918.286
2010/9/10,1920.091,1926.822,1897.954,1915.645
2010/9/13,1914.379,1936.084,1906.856,1922.142
2010/9/14,1928.086,1939.818,1918.17,1925.014
2010/9/15,1926.504,1926.504,1889.068,1893.027
2010/9/16,1890.258,1895.134,1845.073,1858.449
2010/9/17,1864.718,1869.008,1852.244,1857.31
2010/9/20,1859.424,1873.706,1844.157,1860.854
2010/9/21,1868.255,1873.347,1858.75,1864.414
2010/9/27,1869.983,1882.309,1863.434,1881.545
2010/9/28,1876.492,1876.527,1860.683,1863.881
2010/9/29,1859.762,1889.789,1859.141,1868.749
2010/9/30,1858.454,1914.239,1856.816,1913.109
2010/10/8,1933.419,1997.489,1932.595,1990.014
2010/10/11,2005.696,2084.305,2005.696,2066.948
2010/10/12,2058.092,2094.736,2047.905,2091.781
2010/10/13,2093.461,2126.52,2088.954,2125.614
2010/10/14,2152.865,2201.643,2152.865,2160.837
2010/10/15,2148.922,2255.566,2144.204,2254.392
2010/10/18,2270.413,2321.691,2238.566,2241.722
2010/10/19,2236.986,2278.583,2219.614,2278.353
2010/10/20,2240.735,2320.813,2239.04,2285.214
2010/10/21,2287.371,2290.769,2228.038,2245.248
2010/10/22,2234.37,2255.694,2212.608,2231.057
